customer_id,first_name,last_name,gender,birth_year,customer_segment,kyc_status,signup_date,acquisition_channel,home_governorate,home_city
C000001,Farah,Salah,Female,2003,Youth,Verified,2022-12-22,Organic,Assiut,Assiut - Central
C000002,Sherif,Mahmoud,Male,1981,Mass,Verified,2023-12-27,Organic,Sharqia,10th of Ramadan
C000003,Ahmed,Helmy,Male,1998,Youth,Verified,2022-12-30,Agent Network,Monufia,Menouf
C000004,Aya,Soliman,Female,2007,Youth,Verified,2025-10-30,Organic,Beheira,Nubaria
C000005,Farah,Nassar,Female,1969,Affluent,Verified,2022-09-03,Organic,Alexandria,Borg El Arab - Central
C000006,Fady,Hassan,Male,2001,Youth,Verified,2023-07-27,Organic,Beheira,Rashid
C000007,Menna,Ali,Female,1990,Microbusiness,Verified,2022-02-11,Merchant Referral,Cairo,Downtown - Central
C000008,Rania,Sayed,Female,2005,Youth,Verified,2024-11-15,Organic,Monufia,Sadat City - Central
C000009,Khaled,Shawky,Male,1981,Affluent,Verified,2023-09-26,Referral,Qalyubia,Qalyub
C000010,Sara,Abdelaziz,Female,1982,Mass,Verified,2022-07-03,Organic,Dakahlia,Talkha
C000011,Yassin,Ahmed,Male,1965,Affluent,Verified,2024-08-16,Referral,Gharbia,Tanta - Central
C000012,Maya,Ibrahim,Female,1985,Microbusiness,Verified,2022-09-10,Referral,Damietta,Faraskour - Central
C000013,Ahmed,Hassan,Male,1986,Mass,Verified,2026-03-17,Agent Network,Cairo,Shubra - Central
C000014,Yasmin,Gaber,Female,2007,Youth,Verified,2022-03-16,Corporate Campaign,Cairo,Heliopolis - Central
C000015,Ibrahim,Eid,Male,1996,Mass,Verified,2023-10-24,Paid Social,Alexandria,Borg El Arab
C000016,Ahmed,Soliman,Male,1970,Affluent,Verified,2025-12-05,Agent Network,Monufia,Menouf - Central
C000017,Rania,Mansour,Female,1978,Mass,Verified,2023-12-19,Organic,Cairo,New Cairo - Central
C000018,Khaled,Samir,Male,2007,Youth,Verified,2022-04-13,Referral,Cairo,Nasr City - Central
C000019,Nour,Eid,Female,1984,Microbusiness,Verified,2025-05-01,Agent Network,Alexandria,Borg El Arab
C000020,Hassan,Helmy,Male,1984,Mass,Verified,2025-05-22,Paid Social,Cairo,Heliopolis
C000021,Mahmoud,Salah,Male,1999,Youth,Verified,2023-07-05,Agent Network,Giza,Faisal
C000022,Salma,Nassar,Female,1999,Youth,Verified,2024-01-23,Organic,Damietta,Ras El Bar
C000023,Amr,Shawky,Male,2000,Youth,Verified,2022-03-08,Organic,Cairo,New Cairo - Central
C000024,Farah,Abdelrahman,Female,1967,Affluent,Verified,2023-05-05,Organic,Giza,Faisal - Central
C000025,Dina,Helmy,Female,1988,Mass,Verified,2023-11-10,Organic,Cairo,Nasr City - Central
C000026,Menna,Farag,Female,1981,Mass,Verified,2025-02-13,Referral,Cairo,Shubra
C000027,Farah,Ali,Female,2000,Youth,Verified,2023-01-23,Paid Social,Luxor,Esna
C000028,Reem,Abdelaziz,Female,1982,Mass,Verified,2025-05-23,Organic,Gharbia,El Mahalla El Kubra
C000029,Tarek,Farag,Male,2001,Youth,Verified,2023-07-25,Referral,Cairo,Shubra - Central
